Date,Time,Module,Message
2024-01-05,21:38:32,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-05,21:38:32,Test,Set Shutdown Alarm Success.
2024-01-05,21:38:32,AlarmHelper,setZenMode
2024-01-05,21:48:22,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-05,21:48:22,NotificationUtil,clearAlarmArrivingNotification
2024-01-05,21:48:22,AlarmHelper,clearAlarmArrivingAlarm
2024-01-05,21:48:22,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-05,21:48:22,AlarmHelper,setStatusBarIcon: true
2024-01-05,21:48:22,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-05,21:48:22,Test,Set Shutdown Alarm Success.
2024-01-05,21:48:22,AlarmHelper,setZenMode
2024-01-05,21:48:58,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-05,21:48:58,NotificationUtil,clearAlarmArrivingNotification
2024-01-05,21:48:58,AlarmHelper,clearAlarmArrivingAlarm
2024-01-05,21:48:58,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-05,21:48:58,AlarmHelper,setStatusBarIcon: true
2024-01-05,21:48:58,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-05,21:48:58,Test,Set Shutdown Alarm Success.
2024-01-05,21:48:58,AlarmHelper,setZenMode
2024-01-06,06:49:43,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,06:49:43,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,06:49:43,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,06:49:43,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,06:49:43,AlarmHelper,setStatusBarIcon: true
2024-01-06,06:49:43,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-06,06:49:43,Test,Set Shutdown Alarm Success.
2024-01-06,06:49:43,AlarmHelper,setZenMode
2024-01-06,06:53:57,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,06:53:57,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,06:53:57,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,06:53:58,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,06:53:58,AlarmHelper,setStatusBarIcon: true
2024-01-06,06:53:58,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-06,06:53:58,Test,Set Shutdown Alarm Success.
2024-01-06,06:53:58,AlarmHelper,setZenMode
2024-01-06,07:18:41,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
2024-01-06,07:18:41,NotificationUtil,clearAlarmArrivingNotification
2024-01-06,07:18:41,AlarmHelper,clearAlarmArrivingAlarm
2024-01-06,07:18:41,AlarmHelper,"register alarm to AlarmManager: Alarm:(id:2, enabled:true, hour:8, minutes:30, seconds:0, daysOfWeek:127, time:2024-01-06 08:30:00, vibrate:true, alert:file:///storage/emulated/0/MIUI/.ringtone/Believer%20(Imagine%20Dragons)%20320Kbps(Gomirchi.in).mp3, silent:false, deleteAfterUse:false, skipTime:0)"
2024-01-06,07:18:41,AlarmHelper,setStatusBarIcon: true
2024-01-06,07:18:41,ShutdownAlarm,Set Shutdown Alarm. System will boot at 2024-01-06 08:28:00
2024-01-06,07:18:41,Test,Set Shutdown Alarm Success.
2024-01-06,07:18:41,AlarmHelper,setZenMode
2024-01-06,07:22:44,AlarmInitReceiver,receive action: android.intent.action.TIME_SET
